signature,size,buggy_gen,state+fault,interval,commits,churn
src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1586^1595+src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1691^1700,10,False,C_N,Y_N,06ea776^90d3eba,4
src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1586^1595+src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1763^1772,10,False,C_N^C_N,Y_N^Y_N,06ea776^90d3eba^eafd247,4^2
src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1586^1595+src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1809^1818,10,False,C_N,Y_N,06ea776^90d3eba,4
src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1586^1595+src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1823^1832,10,False,C_N^C_N,Y_N^YY_N,06ea776^90d3eba^2c0fc47,4^2
src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1586^1595+src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1858^1867,10,False,C_N^C_N,Y_N^YY_N,06ea776^90d3eba^2c0fc47,4^2
src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1586^1595+src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1872^1884,13,False,C_N^C_Y,Y_N^Y_Y,06ea776^90d3eba^fa3db67,4^2
src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1586^1595+src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1889^1898,10,False,C_N,Y_N,06ea776^90d3eba,4
src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1586^1595+src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1903^1912,10,False,C_N,Y_N,06ea776^90d3eba,4
src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1586^1595+src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1934^1943,10,False,C_N,Y_N,06ea776^90d3eba,4
src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1586^1595+src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1948^1960,13,False,C_N^C_N^C_Y,Y_N^Y_N^Y_Y,06ea776^90d3eba^323c7d2^fa3db67,4^1^2
src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1586^1595+src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1965^1976,12,False,C_N^C_Y,Y_N^Y_Y,06ea776^90d3eba^fa3db67,4^2
src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1586^1595+src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1999^2008,10,False,C_N,Y_N,06ea776^90d3eba,4
src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1586^1595+src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^2013^2022,10,False,C_N,Y_N,06ea776^90d3eba,4
src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1586^1595+src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^2085^2095,11,False,C_N^C_N^C_Y,Y_N^Y_N^Y_Y,06ea776^90d3eba^f9b23bb^fa3db67,4^6^2
src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1586^1595+src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^2100^2109,10,False,C_N,Y_N,06ea776^90d3eba,4
src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1586^1595+src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^2114^2123,10,False,C_N,Y_N,06ea776^90d3eba,4
src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1586^1595+src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^2145^2154,10,False,C_N^C_N^C_N,Y_N^D_N^Y_N,06ea776^90d3eba^1d1b077^e22f59b,4^4^2
src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1586^1595+src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^2182^2191,10,False,C_N^C_N,Y_N^YY_N,06ea776^90d3eba^2c0fc47,4^2
src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^1586^1595+src/model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java^2196^2205,10,False,C_N,Y_N,06ea776^90d3eba,4
