CFltFix,cloc,CPathDepth,CCurSt,experience,EFltDens,TChurn,TPC,NumOfBursts,SLBurst,CFltRate,EEvPattern,EConChg,EIncChg,EConStChg,EIncStChg,EFltsConStChg,EFltIncStChg,EChgTimeInt,buggy
False,18,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,22,0.0,10,1,0,0,0.0,SYNC,1,0,1,0,0,0,5.8,False
False,18,4,C,46,0.0,2,2,0,0,0.0,SYNC,2,0,2,0,0,0,29.1,False
False,18,4,C,46,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,22,0.0,10,1,0,0,0.0,SYNC,1,0,1,0,0,0,5.8,False
False,18,4,C,46,0.0,2,2,0,0,0.0,SYNC,2,0,2,0,0,0,29.1,False
False,18,4,C,46,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,22,0.0,10,1,0,0,0.0,SYNC,1,0,1,0,0,0,5.8,False
False,18,4,C,46,0.0,2,2,0,0,0.0,SYNC,2,0,2,0,0,0,29.1,False
False,18,4,C,46,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,22,0.0,10,1,0,0,0.0,SYNC,1,0,1,0,0,0,5.8,False
False,18,4,C,46,0.0,2,2,0,0,0.0,SYNC,2,0,2,0,0,0,29.1,False
False,18,5,C,46,0.0,6,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,5,C,46,0.0,6,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,5,C,22,0.0,10,1,0,0,0.0,SYNC,1,0,1,0,0,0,5.8,False
False,18,5,C,46,0.0,6,2,0,0,0.0,SYNC,2,0,2,0,0,0,29.1,False
False,18,5,C,46,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,5,C,22,0.0,10,1,0,0,0.0,SYNC,1,0,1,0,0,0,5.8,False
False,18,5,C,46,0.0,4,2,0,0,0.0,SYNC,2,0,2,0,0,0,29.1,False
False,18,5,C,22,0.0,10,1,0,0,0.0,SYNC,1,0,1,0,0,0,5.8,False
False,18,5,C,46,0.0,4,2,0,0,0.0,SYNC,2,0,2,0,0,0,29.1,False
False,11,4,I,22,0.0,44,1,0,0,0.0,INC,0,1,0,1,0,0,5.8,False
False,11,4,I,22,0.0,44,1,0,0,0.0,INC,0,1,0,1,0,0,5.8,False
False,11,4,I,22,0.0,44,1,0,0,0.0,INC,0,1,0,1,0,0,5.8,False
False,9,4,I,51,0.0,9,1,0,0,0.0,INC,0,1,0,1,0,0,60.8,False
False,12,4,I,29,0.0,11,1,0,0,0.0,INC,0,1,0,1,0,0,19.0,False
False,12,4,I,50,0.0,14,2,0,0,0.0,INC,0,2,0,2,0,0,28.7,False
False,12,4,I,51,0.0,2,3,0,0,0.0,INC,0,3,0,3,0,0,7.2,False
False,12,4,I,54,0.0,2,4,0,0,0.0,INC,0,4,0,4,0,0,14.1,False
False,12,4,I,97,0.0,9,5,0,0,0.0,INC,0,5,0,5,0,0,153.9,False
False,12,4,I,122,0.0,2,6,0,0,0.0,INC,0,6,0,6,0,0,132.9,False
False,12,4,I,133,0.0,5,7,0,0,0.0,INC,0,7,0,7,0,0,34.3,False
False,9,2,I,51,0.0,9,1,0,0,0.0,INC,0,1,0,1,0,0,55.0,False
False,9,2,C,59,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,90.1,False
False,9,2,I,133,0.0,9,2,0,0,0.0,DIV,1,1,1,0,0,1,300.1,False
False,10,3,C,54,0.0,10,1,0,0,0.0,SYNC,1,0,1,0,0,0,69.1,False
False,10,3,I,78,0.0,8,2,0,0,0.0,DIV,1,1,1,0,0,1,64.9,False
False,10,3,I,97,0.0,6,3,0,0,0.0,DIV,1,2,1,1,0,1,89.0,False
False,12,4,C,29,0.0,16,1,0,0,0.0,SYNC,1,0,1,0,0,0,19.0,False
False,12,4,C,34,0.0,8,2,0,0,0.0,SYNC,2,0,2,0,0,0,4.1,False
False,12,4,I,76,0.0,10,3,0,0,0.0,DIV,2,1,2,0,0,1,90.9,False
False,12,4,I,105,0.0,20,4,0,0,0.0,DIV,2,2,2,1,0,1,167.1,False
False,12,4,I,125,0.0,5,5,0,0,0.0,DIV,2,3,2,2,0,1,75.1,False
False,12,4,I,138,0.0,2,6,0,0,0.0,DIV,2,4,2,3,0,1,36.7,False
False,12,4,I,142,0.0,3,7,0,0,0.0,DIV,2,5,2,4,0,1,4.2,False
False,14,5,C,76,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,114.0,False
False,14,5,I,88,0.0,4,2,0,0,0.0,DIV,1,1,1,0,0,1,75.9,False
False,14,5,C,76,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,114.0,False
False,14,5,I,88,0.0,4,2,0,0,0.0,DIV,1,1,1,0,0,1,75.9,False
False,14,5,C,76,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,114.0,False
False,14,5,I,88,0.0,8,2,0,0,0.0,DIV,1,1,1,0,0,1,75.9,False
False,27,4,I,29,0.0,27,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,27,4,I,29,0.0,27,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,27,4,I,29,0.0,27,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,27,4,I,29,0.0,27,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,27,4,I,29,0.0,27,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,22,4,I,29,0.0,22,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,22,4,I,29,0.0,22,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,22,4,I,29,0.0,22,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,22,4,I,29,0.0,22,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,22,4,I,29,0.0,22,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,25,4,I,29,0.0,25,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,25,4,I,29,0.0,25,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,25,4,I,29,0.0,25,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,25,4,I,29,0.0,25,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,25,4,I,29,0.0,25,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,71,4,C,45,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,10.0,False
False,71,4,C,56,0.0,2,2,0,0,0.0,SYNC,2,0,2,0,0,0,48.9,False
False,71,4,C,67,0.0,7,3,0,0,0.0,SYNC,3,0,3,0,0,0,19.1,False
False,26,4,C,56,0.0,16,1,0,0,0.0,SYNC,1,0,1,0,0,0,58.9,False
False,26,4,C,88,0.0,17,2,0,0,0.0,SYNC,2,0,2,0,0,0,112.0,False
