signature,size,buggy_gen,state+fault,interval,commits,churn
org/gjt/sp/jedit/options/DockingOptionPane.java^258^269+org/gjt/sp/jedit/options/StyleOptionPane.java^186^197,12,False,I_N,D_N,1d23005^0dd723c,3
org/gjt/sp/jedit/print/BufferPrinter1_3.java^86^133+org/gjt/sp/jedit/print/BufferPrinter1_4.java^89^137,49,False,I_N^I_N^I_N^I_N^I_N^I_N^I_N,D_N^D_N^D_N^D_N^D_N^YY_N^YY_N,0c4e249^e4e2ab6^7ea86c6^8bc4ead^6e3dfa4^58f46ba^e62425c^5ee061f,29^2^2^7^31^2^2
org/gjt/sp/jedit/TextUtilities.java^374^463+org/gjt/sp/jedit/TextUtilities.java^564^653,90,False,I_N^I_N^I_N,Y_N^D_N^Y_N,e719fab^efc92bb^77cf869^0a805e4,46^2^3
org/gjt/sp/jedit/browser/BrowserIORequest.java^145^190+org/gjt/sp/jedit/browser/ListDirectoryBrowserTask.java^75^117,46,False,C_N,Y_N,923e836^ee00f3c,5
org/gjt/sp/jedit/textarea/ExtensionManager.java^76^97+org/gjt/sp/jedit/textarea/ExtensionManager.java^100^120,22,False,I_N^I_N,Y_N^D_N,a457f6b^f040609^bd0d323,33^18
org/jedit/options/OptionGroupPane.java^525^545+org/jedit/options/PluginOptionGroup.java^226^246,21,False,I_N,YY_N,39cc2fd^a11facd,42
org/gjt/sp/jedit/textarea/TextArea.java^4368^4400+org/gjt/sp/jedit/textarea/TextArea.java^4407^4439,33,False,I_N,Y_N,6a1b913^eb0d9dc,8
installer/VariableGridLayout.java^306^323+org/gjt/sp/jedit/gui/VariableGridLayout.java^304^321,18,False,I_N^I_N^I_N,YY_N^Y_N^M_N,3e76e8a^920984a^efd8d62^d4c6068,16^11^2
org/gjt/sp/jedit/pluginmgr/ManagePanel.java^111^145+org/gjt/sp/jedit/pluginmgr/ManagePanel.java^437^467,35,True,I_N^I_Y,D_N^M_Y,3cca33a^55ecec6^b923059,2^35
org/gjt/sp/jedit/options/DockingOptionPane.java^323^334+org/gjt/sp/jedit/options/SyntaxHiliteOptionPane.java^205^216,12,False,I_N,Y_N,4daeb3c^348f358,15
