signature,size,buggy_gen,state+fault,interval,commits,churn
proposal/myrmidon/src/main/org/apache/tools/ant/types/PatternSet.java^301^321+src/main/org/apache/tools/ant/types/RegularExpression.java^139^159,21,False,I_N,M_N,0d470a5^ce6c8d7,22
src/main/org/apache/tools/ant/filters/TabsToSpaces.java^178^191+src/main/org/apache/tools/ant/filters/TailFilter.java^224^234,14,False,I_N^I_N^I_Y^I_Y^I_Y^I_N^I_N^I_Y,Y_N^M_N^Y_Y^D_Y^Y_Y^YY_N^YY_N^YY_Y,8f413c1^f87fdc9^e596d35^4101297^00ec1c4^74f58bf^ea7e464^20e8233^da5f3bf,4^46^3^2^2^4^7^4
src/main/org/apache/tools/ant/types/resources/BaseResourceCollectionWrapper.java^141^154+src/main/org/apache/tools/ant/types/resources/MappedResourceCollection.java^188^205,18,True,I_Y,Y_Y,45485bd^cf0368c,14
proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/optional/jlink/jlink.java^162^217+src/main/org/apache/tools/ant/taskdefs/optional/jlink/jlink.java^160^199,56,False,I_N,W_N,30593c2^5f6832b,14
src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTestRunner.java^938^952+src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTestRunner.java^954^971,18,False,I_N^I_N,D_N^YY_N,59487f2^f21a175^1b76f1b,8^4
src/main/org/apache/tools/ant/taskdefs/optional/extension/ExtensionSet.java^123^140+src/main/org/apache/tools/ant/types/AbstractFileSet.java^907^927,21,False,I_N^I_N,YY_N^YY_N,6d79f27^9caeed5^1b76f1b,12^7
proposal/myrmidon/src/java/org/apache/antlib/cvslib/Cvs.java^193^340+src/main/org/apache/tools/ant/taskdefs/Cvs.java^143^253,148,True,I_N^I_N^I_N^I_N^I_N^I_Y^I_N^I_N^I_Y^I_N^I_N^I_N^I_N^I_N^I_N^I_Y,D_N^W_N^D_N^D_N^D_N^W_Y^D_N^M_N^W_Y^M_N^D_N^D_N^W_N^M_N^W_N^D_Y,02d790f^1a19815^ea65444^9665fcf^afd87ba^f7e6cdd^f1b8684^c7017dd^27040cd^130315b^38dce34^dcef853^8ce1de2^ad91082^f20fc56^36a0800^5c39c18,186^12^8^2^8^4^4^5^7^20^23^4^2^3^5^114
src/main/org/apache/tools/bzip2/CBZip2InputStream.java^51^61+src/main/org/apache/tools/bzip2/CBZip2OutputStream.java^58^68,11,True,I_Y,YY_Y,c885f56^134d95a,34
proposal/myrmidon/src/todo/org/apache/tools/todo/taskdefs/clearcase/CCCheckout.java^411^436+proposal/myrmidon/src/todo/org/apache/tools/todo/taskdefs/clearcase/CCUpdate.java^324^353,30,False,C_N,D_N,c42fc5d^b641058,17
proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/optional/ide/VAJWorkspaceScanner.java^95^111+src/main/org/apache/tools/ant/DirectoryScanner.java^1077^1088,17,False,I_N,M_N,30593c2^3a4ce79,6
proposal/myrmidon/src/main/org/apache/tools/ant/types/DataType.java^98^117+proposal/myrmidon/src/main/org/apache/tools/ant/types/Mapper.java^239^258,20,False,C_N^C_N,D_N^D_N,d1064de^7a3448d^b3cc9d8,2^4
proposal/sandbox/selectors/src/main/org/apache/tools/ant/DirectoryScanner.java^410^534+src/main/org/apache/tools/ant/types/selectors/SelectorUtils.java^222^326,125,True,I_Y^I_N,W_Y^D_N,c13dba6^2c4faa1^be9a928,13^5
proposal/myrmidon/src/main/org/apache/tools/ant/types/DataType.java^98^117+proposal/myrmidon/src/todo/org/apache/tools/ant/types/Mapper.java^239^258,20,False,C_N^C_N,D_N^D_N,d1064de^7a3448d^b3cc9d8,2^4
proposal/myrmidon/src/main/org/apache/tools/ant/util/regexp/Jdk14RegexpMatcher.java^147^162+src/main/org/apache/tools/ant/util/regexp/Jdk14RegexpMatcher.java^162^178,17,False,I_N,W_N,cbf1a17^36a0800,9
proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/Java.java^218^245+proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/Java.java^218^245,28,False,I_N^I_N,D_N^D_N,1a0e2e4^ca77bf7^d09fc12,4^20
src/main/org/apache/tools/ant/taskdefs/optional/clearcase/CCLock.java^129^156+src/main/org/apache/tools/ant/taskdefs/optional/clearcase/CCUnCheckout.java^96^119,28,False,I_Y,Y_Y,96404f8^5f41947,16
src/main/org/apache/tools/ant/types/selectors/AndSelector.java^60^73+src/main/org/apache/tools/ant/types/selectors/OrSelector.java^60^74,15,False,I_N,YY_N,c885f56^9caeed5,14
proposal/mutant/src/java/antcore/org/apache/ant/antcore/execution/CoreDataService.java^161^192+proposal/mutant/src/java/antcore/org/apache/ant/antcore/execution/CoreDataService.java^204^232,32,False,C_N^C_N,Y_N^Y_N,8e684f3^8da6b3a^da4e1a3,8^139
src/testcases/org/apache/tools/ant/types/DirSetTest.java^191^248+src/testcases/org/apache/tools/ant/types/FileListTest.java^126^183,58,False,C_N^I_N,D_N^D_N,274da33^af0dbb6^98d509c,28^59
proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/WaitFor.java^102^140+src/main/org/apache/tools/ant/taskdefs/WaitFor.java^135^162,39,False,I_N,W_N,10aeeab^6ab3e31,12
proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/Echo.java^74^107+src/main/org/apache/tools/ant/taskdefs/Echo.java^83^101,34,False,I_N,D_N,1a1e1bd^a6ab023,2
proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/optional/clearcase/CCCheckin.java^323^348+proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/optional/clearcase/CCUpdate.java^324^353,30,False,I_N,M_N,95bdf91^38dce34,4
proposal/myrmidon/src/java/org/apache/aut/bzip2/CBZip2InputStream.java^278^293+proposal/myrmidon/src/java/org/apache/aut/bzip2/CBZip2InputStream.java^363^378,16,False,I_N,W_N,8ce1de2^7d9692d,4
src/main/org/apache/tools/ant/types/FilterChain.java^401^417+src/main/org/apache/tools/ant/types/selectors/BaseSelectorContainer.java^327^342,17,False,C_N,M_N,1b76f1b^df33426,2
proposal/myrmidon/src/test/org/apache/myrmidon/interfaces/type/TypeFactoryTest.java^62^84+proposal/myrmidon/src/testcases/org/apache/myrmidon/interfaces/type/TypeFactoryTest.java^62^84,23,False,I_N,M_N,b9ab19b^6fe6694,2
src/antidote/org/apache/tools/ant/gui/acs/ACSProjectElementBeanInfo.java^86^104+src/antidote/org/apache/tools/ant/gui/acs/ACSTargetElementBeanInfo.java^86^106,21,False,I_N^I_N,D_N^Y_N,d830141^6a6e0bd^a6bebc9,48^3
proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/optional/sitraka/CovReport.java^391^432+src/main/org/apache/tools/ant/taskdefs/optional/sitraka/CovReport.java^357^390,42,False,I_N,M_N,7fec761^71aa092,4
proposal/myrmidon/src/main/org/apache/tools/ant/types/RegularExpression.java^88^108+src/main/org/apache/tools/ant/types/PatternSet.java^373^387,21,False,I_N,M_N,30593c2^0c0ea74,21
