signature,size,buggy_gen,state+fault,interval,commits,churn
maven-plugins/maven-jar-plugin/src/main/java/org/apache/maven/plugin/jar/JarInstallMojo.java^54^68+maven-plugins/maven-plugin-plugin/src/main/java/org/apache/maven/plugin/plugin/PluginInstallMojo.java^40^54,15,True,I_N^I_Y^I_Y,M_N^Y_Y^M_Y,c86ea92^d4125cb^d5d05a5^a44b6f9,7^2^14
maven-mboot/src/main/Bootstrapper.java^531^627+maven-mboot2/src/main/java/MBoot.java^1026^1122,97,False,I_N,Y_N,c13e8c7^6aed331,2
maven-mboot2/src/main/java/StringUtils.java^56^101+maven-plugins/maven-surefire-plugin/src/main/java/org/apache/maven/test/SurefirePlugin.java^191^236,46,False,I_N^I_Y^I_N,Y_N^Y_Y^M_N,c0a6388^d56d3de^ebc406a^5c48727,4^12^44
maven-mboot2/src/main/java/SurefirePlugin.java^19^34+maven-plugins/maven-surefire-plugin/src/main/java/org/apache/maven/test/SurefirePlugin.java^164^179,16,True,I_Y^I_N^I_Y^I_N^I_N^I_Y^I_N^I_N^I_Y^I_N^I_N^I_N^I_Y^I_Y^I_N^I_N^I_Y^I_N^I_N^I_N^I_N,Y_Y^Y_N^W_Y^M_N^M_N^M_Y^M_N^D_N^Y_Y^W_N^M_N^Y_N^W_Y^D_Y^D_N^M_N^M_Y^D_N^D_N^D_N^D_N,530df30^f32e88a^6c36fe6^a44b6f9^c5d7cd8^baca1f7^a58632b^f0248e0^f9360a1^01e6c8d^70a13f3^d56d3de^9262d51^5ec721c^ebc406a^f86c481^5c48727^f685d86^9ad0867^aaae013^28e2b08^5071fe6,5^7^3^2^18^2^9^13^15^9^4^4^10^17^4^1^16^2^19^8^11
maven-mboot2/src/main/java/jar/JarMojo.java^66^93+maven-plugins/maven-jar-plugin/src/main/java/org/apache/maven/plugin/jar/AbstractJarMojo.java^127^154,28,True,I_Y,Y_Y,51b8ce4^f793423,38
maven-core-it-verifier/src/main/java/org/apache/maven/it/Verifier.java^284^310+maven-mboot2/src/main/java/util/StringUtils.java^76^97,27,True,C_N^I_Y,Y_N^M_Y,51b8ce4^b748d06^b48dce7,2^27
maven-mboot2/src/main/java/util/StringUtils.java^19^64+maven-plugins/maven-surefire-plugin/src/main/java/org/apache/maven/test/SurefirePlugin.java^194^239,46,False,I_N^I_Y^I_N,Y_N^Y_Y^M_N,51b8ce4^d56d3de^ebc406a^5c48727,4^12^44
maven-core-it-verifier/src/main/java/org/apache/maven/it/Verifier.java^288^314+maven-mboot2/src/main/java/util/StringUtils.java^76^97,27,True,C_N^I_Y,Y_N^M_Y,8a83719^b748d06^b48dce7,2^27
maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^94^114+maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^164^187,24,False,I_Y,W_Y,e687cfe^6503a19,65
maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^87^114+maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^119^149,31,False,I_Y,W_Y,e687cfe^6503a19,74
maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^126^150+maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^164^188,25,False,I_Y,W_Y,e687cfe^6503a19,73
maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^33^52+maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^94^114,21,False,I_Y^I_Y^I_N,W_Y^M_Y^W_N,e687cfe^6503a19^4465e49^87b3e49,63^6^1
maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^33^52+maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^126^149,24,False,I_Y^I_Y^I_N,W_Y^M_Y^W_N,e687cfe^6503a19^4465e49^87b3e49,69^6^1
maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^33^52+maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^164^187,24,False,I_Y^I_Y^I_N,W_Y^M_Y^W_N,e687cfe^6503a19^4465e49^87b3e49,72^6^1
maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^94^114+maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^126^149,24,False,I_Y,W_Y,e687cfe^6503a19,62
maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^126^149+maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^164^187,24,False,I_Y,W_Y,e687cfe^6503a19,71
maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^61^82+maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^126^149,24,False,I_Y,W_Y,e687cfe^6503a19,62
maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^61^82+maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^164^187,24,False,I_Y,W_Y,e687cfe^6503a19,65
maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^33^56+maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^65^88,24,False,C_Y^C_Y^I_N,W_Y^M_Y^W_N,da47c49^6503a19^4465e49^87b3e49,86^12^1
maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^33^56+maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^130^158,29,False,C_Y^C_Y^C_N,W_Y^M_Y^W_N,da47c49^6503a19^4465e49^87b3e49,95^12^1
maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^33^56+maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^173^200,28,False,C_Y^C_Y^C_N,W_Y^M_Y^W_N,da47c49^6503a19^4465e49^87b3e49,93^12^1
maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^65^88+maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^130^158,29,False,C_Y^C_Y,W_Y^M_Y,da47c49^6503a19^4465e49,95^12
maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^65^88+maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^173^200,28,False,C_Y^C_Y,W_Y^M_Y,da47c49^6503a19^4465e49,93^12
maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^130^158+maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^173^200,29,False,C_Y^C_Y,W_Y^M_Y,da47c49^6503a19^4465e49,102^12
maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^27^57+maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^59^89,31,False,C_Y^C_Y^I_N,W_Y^M_Y^W_N,da47c49^6503a19^4465e49^87b3e49,92^12^1
